,REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,VECTOR,COORDINATE,VALUE,TERMINATED
504731,2000-02,Ontario,2016A000235,All-items,2002=100,17,v41691919,14.2,93.9,0
504732,2000-02,Ontario,2016A000235,Food,2002=100,17,v41691920,14.3,91.5,0
504733,2000-02,Ontario,2016A000235,Food purchased from stores,2002=100,17,v41691921,14.4,90.7,0
504734,2000-02,Ontario,2016A000235,Meat,2002=100,17,v41691922,14.5,86.8,0
504735,2000-02,Ontario,2016A000235,Fresh or frozen meat (excluding poultry),2002=100,17,v41691923,14.6,81.3,0
504736,2000-02,Ontario,2016A000235,Fresh or frozen beef,2002=100,17,v41691924,14.7,79.7,0
504737,2000-02,Ontario,2016A000235,Fresh or frozen pork,2002=100,17,v41691925,14.8,82.5,0
504738,2000-02,Ontario,2016A000235,Fresh or frozen poultry,2002=100,17,v41691926,14.1,88.9,0
504739,2000-02,Ontario,2016A000235,Fresh or frozen chicken,2002=100,17,v41691927,14.11,88.3,0
504740,2000-02,Ontario,2016A000235,Processed meat,2002=100,17,v41691928,14.13,94.2,0
504741,2000-02,Ontario,2016A000235,"Fish, seafood and other marine products",2002=100,17,v41691929,14.16,94.2,0
504742,2000-02,Ontario,2016A000235,Fish,2002=100,17,v41691930,14.17,94.4,0
504743,2000-02,Ontario,2016A000235,Dairy products and eggs,2002=100,17,v41691931,14.21,92.5,0
504744,2000-02,Ontario,2016A000235,Dairy products,2002=100,17,v41691932,14.22,92.3,0
504745,2000-02,Ontario,2016A000235,Fresh milk,2002=100,17,v41691933,14.23,91.9,0
504746,2000-02,Ontario,2016A000235,Butter,2002=100,17,v41691934,14.24,91.7,0
504747,2000-02,Ontario,2016A000235,Cheese,2002=100,17,v41691935,14.25,94.7,0
504748,2000-02,Ontario,2016A000235,Eggs,2002=100,17,v41691936,14.28,94.0,0
504749,2000-02,Ontario,2016A000235,Bakery and cereal products (excluding baby food),2002=100,17,v41691937,14.29,92.6,0
504750,2000-02,Ontario,2016A000235,Bakery products,2002=100,17,v41691938,14.3,90.3,0
504751,2000-02,Ontario,2016A000235,Cereal products (excluding baby food),2002=100,17,v41691939,14.34,96.6,0
504752,2000-02,Ontario,2016A000235,"Fruit, fruit preparations and nuts",2002=100,17,v41691940,14.39,88.2,0
504753,2000-02,Ontario,2016A000235,Fresh fruit,2002=100,17,v41691941,14.4,82.3,0
504754,2000-02,Ontario,2016A000235,Preserved fruit and fruit preparations,2002=100,17,v41691942,14.45,97.5,0
504755,2000-02,Ontario,2016A000235,Vegetables and vegetable preparations,2002=100,17,v41691943,14.49,83.0,0
504756,2000-02,Ontario,2016A000235,Fresh vegetables,2002=100,17,v41691944,14.5,79.4,0
504757,2000-02,Ontario,2016A000235,Preserved vegetables and vegetable preparations,2002=100,17,v41691945,14.55,97.5,0
504758,2000-02,Ontario,2016A000235,Other food products and non-alcoholic beverages,2002=100,17,v41691946,14.58,97.3,0
504759,2000-02,Ontario,2016A000235,Sugar and confectionery,2002=100,17,v41691947,14.59,96.6,0
504760,2000-02,Ontario,2016A000235,Edible fats and oils,2002=100,17,v41691948,14.62,96.2,0
504761,2000-02,Ontario,2016A000235,Coffee and tea,2002=100,17,v41691949,14.65,105.1,0
504762,2000-02,Ontario,2016A000235,Non-alcoholic beverages,2002=100,17,v41691950,14.74,97.2,0
504763,2000-02,Ontario,2016A000235,Food purchased from restaurants,2002=100,17,v41691951,14.75,93.5,0
504764,2000-02,Ontario,2016A000235,Shelter,2002=100,17,v41691952,14.79,92.8,0
504765,2000-02,Ontario,2016A000235,Rented accommodation,2002=100,17,v41691953,14.8,95.1,0
504766,2000-02,Ontario,2016A000235,Rent,2002=100,17,v41691954,14.81,95.2,0
